Id,LotFrontage,LotArea,Alley,LotShape,LotConfig,Neighborhood,Condition1,BldgType,OverallQual,RoofStyle,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,Fence,SalePrice,HouseAge,RecentRemodel,TotalPorchSF,TotalBathAbGr,TotalFinSF,BsmtBath
1312,68.0,8814,0,1,1,2,2,0,3,1,1,80.0,3,1,3,2,1,1274,4,1,1274,3,6,0,0,3,508,2,2,1,264,0,203000,2,0,98,2.0,2199,1
567,77.0,11198,0,0,1,0,2,0,4,0,1,245.0,3,1,3,3,1,1122,4,1,2504,4,11,1,3,1,656,2,2,1,144,0,325000,3,1,39,2.5,2504,0
611,0.0,11050,0,1,1,2,2,0,4,0,1,204.0,3,1,4,2,1,1440,4,1,2153,4,8,1,4,3,736,2,2,1,253,0,313000,9,9,142,2.5,3057,1
1279,75.0,9473,0,1,1,2,2,0,3,1,0,0.0,3,1,3,2,1,1128,4,1,2031,3,7,1,3,3,577,2,2,1,0,0,237000,6,6,211,2.5,2835,1
1264,60.0,13515,1,1,1,3,2,0,2,0,0,0.0,2,1,2,2,1,764,4,1,1824,2,8,1,3,2,520,2,2,0,0,1,180500,88,57,126,1.0,1824,0
817,0.0,11425,0,0,2,0,2,0,2,1,0,0.0,2,0,2,2,1,1008,3,1,1008,2,4,1,3,3,275,2,2,1,0,0,137000,52,52,120,1.0,1494,0
439,40.0,4280,0,1,1,2,2,0,2,1,0,0.0,2,1,2,2,1,440,2,0,694,3,4,1,3,2,352,3,2,0,0,1,90350,94,5,34,1.0,1059,0
941,55.0,12640,0,0,1,2,2,1,2,1,0,0.0,2,0,2,2,3,1728,2,1,1728,2,8,0,0,3,574,2,2,1,40,0,150900,30,30,0,2.0,3060,0
97,78.0,10264,0,0,1,2,2,0,3,1,1,183.0,3,1,3,2,2,1588,4,1,1588,3,6,0,0,3,472,2,2,1,158,0,214000,7,7,29,2.0,2750,0
561,0.0,11341,0,0,1,1,2,0,2,0,1,180.0,2,0,3,2,1,1392,2,1,1392,2,5,1,3,2,528,2,2,1,0,0,121500,53,14,95,1.5,2694,1
1183,160.0,15623,0,0,2,0,2,0,4,0,0,0.0,3,1,4,2,2,2396,4,1,4476,4,10,1,2,3,813,2,2,1,171,1,745000,11,11,78,3.5,6572,1
472,92.0,11952,0,1,1,0,2,0,3,0,0,0.0,2,0,3,2,1,808,2,1,1969,2,8,1,3,3,534,2,2,1,0,0,190000,30,30,276,2.5,1969,0
1005,43.0,3182,0,1,1,0,2,1,3,1,1,16.0,3,1,3,2,1,1346,4,1,1504,3,7,1,3,3,457,2,2,1,156,0,181000,4,3,0,2.0,1520,0
411,68.0,9571,0,1,1,1,2,0,2,1,0,0.0,2,0,2,1,1,1276,2,1,1276,2,5,0,0,3,350,2,2,1,0,0,60000,51,51,0,1.0,1276,0
964,122.0,11923,0,0,2,2,2,0,4,1,0,0.0,3,1,4,2,1,1800,4,1,1800,4,7,0,0,3,702,2,2,1,288,0,239000,2,2,136,2.0,1800,0
583,81.0,11841,0,1,1,1,2,1,2,1,1,104.0,2,0,3,2,2,816,2,1,816,2,5,0,0,0,0,0,0,1,0,0,118500,17,17,32,1.0,1632,1
157,60.0,7200,0,1,1,0,2,0,2,0,0,0.0,2,0,0,0,0,0,2,1,1040,2,5,0,0,2,625,2,2,1,0,0,109500,56,56,0,1.0,1040,0
595,88.0,7990,0,0,1,2,2,0,2,0,0,0.0,2,0,3,2,1,924,2,1,924,2,5,0,0,2,280,2,2,1,0,1,110000,33,33,0,1.0,924,0
618,59.0,7227,0,1,2,0,1,0,2,1,0,0.0,2,0,2,2,1,832,3,1,832,3,4,0,0,2,528,2,2,1,0,0,105500,54,54,0,1.0,832,0
448,0.0,11214,0,0,2,0,2,0,3,1,0,0.0,3,1,3,2,1,930,3,1,1886,3,10,1,2,3,431,2,2,1,89,0,199900,8,7,0,2.5,1886,0
1206,90.0,14684,0,0,0,1,2,0,3,0,1,234.0,3,0,3,2,1,2158,3,1,2196,3,7,1,2,3,701,2,2,1,84,0,271900,19,18,70,2.0,2858,0
862,75.0,11625,0,1,1,1,2,2,2,0,0,0.0,2,1,2,2,1,1039,4,1,1039,2,6,0,0,3,504,2,2,1,0,0,131500,45,45,0,1.5,1880,1
1011,115.0,21286,0,1,1,1,2,0,2,1,0,0.0,2,0,2,2,1,720,2,1,1271,2,7,1,3,3,312,2,2,1,0,0,135000,60,58,108,2.0,1271,0
391,50.0,8405,1,1,1,1,2,0,2,1,0,0.0,2,0,2,3,1,861,4,1,1367,2,7,0,0,2,384,2,2,1,0,1,119000,108,58,242,1.0,1999,1
1410,46.0,20544,0,0,0,0,2,0,3,1,1,123.0,2,0,3,2,1,791,3,1,2093,2,7,1,2,3,542,2,2,1,364,1,215000,22,17,63,2.5,2093,0
848,36.0,15523,0,0,0,2,2,0,2,1,0,0.0,2,0,2,2,2,864,4,1,864,2,5,1,1,3,338,2,2,1,0,0,133500,37,37,0,1.0,1324,1
1285,50.0,9638,0,1,1,2,1,0,2,1,0,0.0,2,1,2,2,1,804,4,1,2447,3,10,1,3,2,336,2,2,1,272,0,169000,91,20,158,2.0,2447,0
616,80.0,8800,0,1,1,0,1,0,2,1,1,156.0,2,1,2,2,3,936,4,1,1054,3,6,0,0,3,480,2,2,1,120,1,137500,47,47,0,1.0,1817,1
614,70.0,8402,0,1,1,2,1,0,2,1,0,0.0,2,1,3,2,1,1120,4,1,1120,2,6,0,0,0,0,0,0,1,0,0,147000,0,0,30,1.0,1326,0
1304,73.0,8688,0,1,1,0,2,0,3,1,1,228.0,3,1,3,2,2,1616,4,1,1616,3,7,0,0,3,834,2,2,1,208,0,232000,1,1,59,2.0,1616,0
487,79.0,10289,0,1,1,0,2,0,2,0,1,168.0,2,0,2,2,1,1073,2,1,1073,2,6,0,0,3,515,2,2,1,0,0,156000,42,42,0,1.5,1909,1
562,77.0,10010,0,1,1,2,2,0,2,1,0,0.0,2,0,3,2,2,1389,3,1,1389,2,6,1,2,3,418,2,2,1,240,0,170000,32,31,38,1.0,2583,1
309,0.0,12342,0,0,1,1,2,0,1,1,0,0.0,2,0,2,2,1,861,4,1,861,2,4,0,0,2,539,2,2,1,158,0,82500,69,59,0,1.0,1123,0
462,60.0,7200,0,1,1,2,1,0,3,1,0,0.0,3,1,3,3,1,560,4,1,1135,3,6,0,0,2,576,2,2,1,256,1,155000,73,2,0,1.0,1695,1
1143,77.0,9965,0,1,1,2,2,0,3,0,1,340.0,3,1,4,2,3,1466,4,1,2828,3,11,1,2,1,1052,2,2,1,125,0,424870,1,0,144,3.0,3978,1
731,39.0,5389,0,0,1,0,2,1,3,1,0,0.0,3,1,3,2,1,1595,4,1,1616,3,5,1,2,3,608,2,2,1,237,0,236500,15,14,152,2.0,2796,1
1156,90.0,10768,0,0,2,0,2,0,2,1,0,0.0,3,0,3,2,3,1437,2,1,1437,3,6,1,1,3,528,2,2,1,0,0,218000,31,3,201,2.0,2594,1
1204,75.0,9750,0,1,1,2,2,0,3,1,1,171.0,3,1,3,2,1,1630,4,1,1630,3,6,1,2,3,451,2,2,1,74,0,213000,9,8,234,2.0,1630,0
701,85.0,14331,0,1,1,2,2,0,3,0,1,630.0,3,1,4,2,3,1800,4,1,1800,3,7,1,3,3,765,2,2,1,270,0,312500,4,4,78,2.0,3074,1
850,80.0,9600,0,1,2,0,1,0,2,0,1,360.0,3,0,2,2,1,528,4,1,1855,2,7,1,2,3,512,2,2,1,113,0,187000,31,13,100,2.5,1855,0
1261,0.0,24682,0,0,0,0,0,0,2,1,0,0.0,2,1,3,2,1,841,4,1,1675,2,7,1,2,1,502,2,2,1,0,0,181000,10,10,103,2.5,1675,0
788,76.0,10142,0,0,1,1,2,0,3,1,0,0.0,3,1,3,2,1,956,4,1,2084,3,8,0,0,1,618,2,2,1,0,0,233000,6,6,45,2.5,2740,1
353,60.0,9084,0,1,1,1,1,0,2,1,0,0.0,2,0,2,1,1,616,2,0,1111,2,5,0,0,2,200,2,1,1,48,0,95000,67,58,0,1.0,1727,1
711,56.0,4130,0,0,1,3,2,0,1,1,0,0.0,3,0,2,2,1,270,3,1,729,2,5,0,0,0,0,0,0,0,0,0,52000,73,5,0,1.0,729,0
125,48.0,17043,0,0,0,0,2,0,2,1,0,0.0,2,0,3,1,1,1362,2,1,1586,2,7,1,2,3,435,2,2,1,192,0,181000,30,11,0,2.0,1586,0
179,63.0,17423,0,0,0,0,2,0,4,0,1,748.0,4,1,4,2,1,2216,4,1,2234,4,9,1,3,3,1166,2,2,1,0,0,501837,1,0,60,2.0,4138,1
288,0.0,8125,0,0,2,0,2,0,1,1,0,0.0,2,0,2,2,1,858,2,1,858,2,5,0,0,0,0,0,0,1,0,0,88000,35,35,0,1.0,1472,0
1408,0.0,8780,0,0,2,2,2,0,2,1,0,0.0,2,0,2,2,1,833,4,1,833,2,5,0,0,0,0,0,0,1,0,1,112000,24,24,0,1.0,1458,1
1209,70.0,7763,0,1,1,0,2,0,2,1,0,0.0,2,0,2,2,1,931,2,1,1283,2,6,0,0,2,506,2,2,1,0,0,140000,46,28,0,1.0,1895,1
295,80.0,9600,0,1,1,0,2,0,2,0,1,238.0,2,0,2,2,1,1416,2,1,1644,2,7,1,3,3,418,2,2,1,110,0,167000,56,56,0,1.0,2929,1
328,80.0,11600,0,1,1,0,2,0,2,0,1,175.0,2,0,2,2,1,1383,2,1,1383,2,7,0,0,3,292,2,2,1,0,0,145250,46,46,45,1.5,1948,0
1457,85.0,13175,0,1,1,0,2,0,2,1,1,119.0,2,0,3,2,1,1542,2,1,2073,2,7,1,2,3,500,2,2,1,349,1,210000,32,22,0,2.0,3026,1
842,60.0,10440,1,1,1,3,2,0,2,1,0,0.0,2,1,2,2,1,650,3,1,1539,3,8,1,0,2,686,3,2,0,70,0,157500,104,6,146,2.0,1539,0
1122,84.0,10084,0,1,1,2,2,0,3,1,1,196.0,3,1,3,2,2,1552,4,1,1552,3,7,0,0,3,782,2,2,1,144,0,212900,1,0,20,2.0,1576,0
932,70.0,9100,0,1,1,0,2,0,2,1,0,0.0,2,0,2,2,1,925,4,1,925,2,5,0,0,2,429,2,2,1,0,1,117500,44,44,0,1.0,1729,1
237,65.0,8773,0,1,2,2,2,0,3,1,1,98.0,3,1,3,2,2,1414,4,1,1414,3,6,0,0,3,494,2,2,1,132,0,185500,6,6,105,2.0,1438,0
89,105.0,8470,0,0,2,3,1,0,1,0,0,0.0,1,0,2,1,1,1013,2,0,1526,1,6,0,0,0,0,0,0,0,0,1,85000,94,27,156,1.0,1013,0
887,70.0,8393,0,1,2,0,2,1,2,1,1,122.0,2,0,2,2,1,1626,4,1,1712,2,8,0,0,3,588,2,2,1,272,0,145000,47,1,54,2.0,2240,0
553,87.0,11146,0,0,1,0,2,0,3,1,1,250.0,3,1,4,2,2,1709,4,1,1717,3,7,1,3,3,908,2,2,1,169,0,255500,3,3,39,2.0,1717,0
631,50.0,9000,1,1,2,3,1,0,2,1,0,0.0,2,0,1,1,1,636,2,1,1750,4,8,0,0,2,240,1,0,0,0,1,124000,126,15,293,1.0,1750,0
1353,50.0,6000,0,1,1,3,2,0,2,1,0,0.0,3,0,2,2,1,698,2,1,1176,2,4,0,0,2,624,2,2,0,210,0,134900,72,9,0,1.0,1176,0
666,106.0,11194,0,0,2,0,2,0,3,1,1,40.0,3,1,3,2,1,1406,4,1,1936,3,7,1,2,3,504,2,2,1,188,0,230500,6,6,124,2.5,1936,0
901,0.0,7340,0,0,1,0,2,0,1,1,0,0.0,2,0,2,2,1,858,2,1,858,2,4,0,0,2,684,2,2,1,0,0,110000,36,36,0,1.0,1180,0
291,120.0,15611,0,1,1,2,2,0,3,1,0,0.0,3,1,3,2,2,1079,4,1,1919,3,8,1,3,3,685,3,2,1,0,0,233230,0,0,51,2.5,1919,0
1383,60.0,7200,0,1,2,3,2,0,3,0,0,0.0,2,0,1,2,1,596,4,1,1762,3,8,0,0,2,576,2,2,0,36,0,157000,86,56,221,1.5,1762,1
571,74.0,13101,0,0,1,0,2,1,2,1,1,108.0,2,0,2,2,1,1728,2,1,1728,2,10,0,0,2,576,2,2,1,0,0,142600,43,43,0,2.0,1959,0
349,36.0,2448,0,1,1,0,2,3,3,1,1,106.0,3,1,3,2,1,764,4,1,1626,3,6,0,0,1,474,2,2,1,0,0,154000,5,4,27,2.5,2199,1
545,58.0,17104,0,0,1,0,2,0,3,1,0,0.0,3,1,3,3,2,654,4,1,1496,3,7,1,3,3,426,2,2,1,100,0,179665,0,0,24,2.5,2050,1
1377,52.0,6292,0,1,1,2,2,0,2,1,0,0.0,2,0,3,2,1,768,2,0,790,2,4,0,0,2,160,1,2,1,0,0,91000,78,58,141,1.0,1174,0
661,0.0,12384,0,1,0,0,2,0,3,1,1,233.0,2,0,3,2,1,793,2,1,1935,2,7,1,2,3,550,2,2,1,0,0,197900,31,31,365,2.5,1935,0
1112,80.0,10480,0,1,1,0,2,0,3,0,1,660.0,2,0,2,2,1,803,2,1,1964,2,8,1,3,3,483,2,2,1,0,0,205000,32,32,69,2.5,2367,0
459,0.0,5100,1,1,1,3,2,0,3,0,0,0.0,2,1,2,2,1,588,1,1,1666,3,7,1,3,2,228,2,2,1,192,1,161000,83,12,63,1.0,1666,0
1006,65.0,8385,0,1,1,2,2,0,2,1,1,220.0,3,0,3,3,2,985,2,1,985,2,6,0,0,3,328,2,2,1,210,0,149900,31,31,0,2.0,1580,0
334,59.0,8198,0,1,3,0,2,1,3,1,1,146.0,3,1,3,2,2,1358,4,1,1358,3,6,1,3,3,484,2,2,1,192,0,207000,4,4,30,2.0,2078,1
722,0.0,4426,0,1,1,2,2,1,2,1,1,169.0,3,1,3,2,2,848,4,1,848,3,3,0,0,3,420,2,2,1,160,0,143000,6,6,0,1.0,1510,1
1290,86.0,11065,0,0,1,0,2,0,3,1,1,788.0,3,1,3,2,1,1085,4,1,1970,4,8,1,3,1,753,2,2,1,177,0,281000,0,0,74,2.5,1970,0
679,80.0,11844,0,0,1,0,2,0,3,0,1,464.0,3,1,4,2,1,2046,4,1,2046,3,7,1,3,3,834,2,2,1,322,0,372500,1,1,82,2.5,2046,0
1355,0.0,10316,0,0,1,2,2,0,3,1,0,0.0,3,1,3,2,1,992,4,1,1865,3,7,1,2,3,839,2,2,1,0,0,235000,8,8,184,2.5,2600,1
329,0.0,11888,1,0,1,3,2,0,2,1,0,0.0,2,0,2,2,1,844,3,0,2134,3,10,0,0,2,441,2,2,1,0,0,214500,93,15,328,2.0,2134,0
319,90.0,9900,0,1,1,0,2,0,3,1,1,256.0,3,1,3,2,3,1347,4,1,2646,3,9,1,2,3,656,2,2,1,340,0,260000,16,16,204,2.5,3633,1
1439,90.0,7407,0,1,1,3,1,0,2,1,0,0.0,2,0,2,2,1,912,2,1,1236,2,6,0,0,3,923,2,2,1,0,1,149700,53,14,316,1.0,1836,1
909,0.0,8885,0,0,1,2,2,0,2,1,0,0.0,2,0,3,2,2,864,2,1,902,2,5,0,0,3,484,2,2,1,164,1,131000,23,23,0,1.0,1527,1
13,0.0,12968,0,0,1,1,2,0,2,0,0,0.0,2,0,2,2,1,912,2,1,912,2,4,0,0,2,352,2,2,1,140,0,144000,46,46,176,1.0,1649,1
172,141.0,31770,0,0,2,0,2,0,2,0,1,112.0,2,0,2,3,3,1080,1,1,1656,2,7,1,3,3,528,2,2,0,210,0,215000,50,50,62,1.0,2295,1
261,120.0,19296,0,1,2,0,1,0,2,1,1,399.0,2,0,2,2,3,1362,2,1,1382,2,6,1,2,3,884,2,2,1,0,1,176000,47,47,252,1.0,2744,1
779,60.0,8400,0,1,1,1,1,1,2,1,1,320.0,2,0,0,0,0,0,2,1,2020,2,10,1,2,2,630,2,2,1,0,0,144000,30,30,0,2.0,2020,0
819,80.0,8816,0,1,1,0,2,0,2,1,1,80.0,2,0,2,2,2,1010,3,1,1052,2,6,0,0,3,440,2,2,1,0,1,155000,39,39,0,1.0,1556,1
760,65.0,12257,0,0,1,0,2,0,3,1,1,513.0,3,1,3,2,2,1318,4,1,2531,3,9,1,2,3,752,2,2,1,222,0,290000,12,12,98,2.5,2651,0
139,73.0,9066,0,0,1,2,2,0,3,1,1,320.0,3,1,3,2,1,1004,4,1,1852,3,7,1,2,3,660,2,2,1,224,1,230000,9,8,106,2.5,2520,0
1210,85.0,10182,0,0,0,0,0,0,3,0,1,420.0,3,1,4,2,1,1660,4,1,1660,3,8,1,3,3,500,2,2,1,322,0,290000,0,0,50,2.0,2880,1
886,50.0,5119,0,0,0,0,2,1,4,1,1,60.0,3,1,4,2,2,1698,4,1,1709,3,5,1,2,3,506,2,2,1,97,0,328900,9,8,65,2.0,2947,1
742,65.0,6768,0,0,1,1,1,0,2,0,0,0.0,2,0,2,2,1,912,3,1,912,3,5,0,0,2,288,2,2,1,168,1,142000,47,12,0,1.0,1744,1
140,65.0,15426,0,0,1,2,2,0,2,1,0,0.0,2,1,3,2,1,928,4,1,1764,3,7,0,0,3,470,2,2,1,276,1,231500,12,12,99,2.5,2585,1
1277,0.0,12936,0,0,0,0,2,0,2,1,0,0.0,2,0,2,3,1,723,2,1,1395,2,6,1,2,3,497,2,2,1,294,0,162000,37,37,116,1.5,1988,1
1082,75.0,7500,0,1,2,1,1,0,2,1,0,0.0,2,0,2,2,1,1040,1,1,1040,2,5,0,0,3,308,2,2,1,0,1,133000,47,47,220,1.5,1864,1
225,103.0,13472,0,1,1,0,2,0,4,0,1,922.0,4,1,4,2,3,2392,4,1,2392,4,8,1,4,3,968,2,2,1,248,0,386250,6,6,105,2.0,2448,0
1064,50.0,6000,0,1,1,3,1,0,2,1,0,0.0,2,0,2,2,1,1103,3,1,1103,3,5,1,3,2,440,2,2,1,166,1,110500,81,26,120,1.0,1500,0
410,85.0,10800,0,1,1,0,2,0,3,1,1,100.0,3,1,4,2,1,1034,4,1,2078,4,8,1,3,3,836,2,2,1,0,0,339750,1,0,102,2.5,2867,1
326,50.0,5000,0,1,1,3,0,0,2,1,0,0.0,2,0,2,2,2,720,0,0,803,2,5,0,0,2,360,2,2,1,0,0,87000,66,57,244,1.0,919,0
300,80.0,14000,0,1,1,2,2,0,2,1,0,0.0,2,0,2,2,1,1092,4,1,1152,3,6,1,3,3,300,2,2,1,0,1,158500,59,5,36,1.0,1152,1
1243,85.0,10625,0,1,1,0,2,0,3,1,1,81.0,2,0,3,2,3,1053,2,1,1173,3,6,1,2,3,528,2,2,1,0,1,170000,36,36,120,2.0,2226,1
706,70.0,5600,0,1,1,3,2,2,1,0,0,0.0,1,0,0,0,0,0,1,0,1092,1,7,0,0,0,0,0,0,0,0,0,55000,80,60,0,2.0,1092,0
1236,96.0,13132,0,1,1,2,2,0,2,1,0,0.0,2,0,3,2,1,747,3,1,1784,2,9,0,0,2,180,1,1,0,203,0,138887,92,56,40,1.5,1784,0
1356,102.0,10192,0,0,1,0,2,0,3,1,1,143.0,2,0,2,2,1,570,3,1,1920,3,8,1,2,3,487,2,2,1,0,1,170000,38,14,98,3.0,1920,0
904,50.0,14859,0,0,0,0,2,0,3,0,1,27.0,3,1,3,2,1,1670,4,1,1670,3,7,1,3,3,690,2,2,1,144,0,240000,0,0,60,2.0,1670,0
830,24.0,2544,1,1,1,0,2,3,3,1,0,0.0,3,1,3,2,1,600,4,1,1223,3,4,0,0,2,480,2,2,1,0,0,147400,1,1,166,2.5,1143,0
504,100.0,15602,0,0,1,2,2,0,3,1,0,0.0,2,0,2,2,1,1501,2,1,1801,2,6,1,2,3,484,2,2,1,0,1,289000,51,13,215,2.0,3048,1
1337,87.0,9246,0,0,1,0,1,1,2,1,1,564.0,2,0,2,2,1,1656,2,1,1656,2,8,0,0,2,506,2,2,1,0,0,135000,35,35,211,2.0,1656,0
4,60.0,9550,0,0,2,2,2,0,3,1,0,0.0,2,0,2,3,1,756,3,1,1717,3,7,1,3,2,642,2,2,1,0,0,140000,91,36,307,1.0,1933,1
1314,108.0,14774,0,0,2,0,2,0,4,1,1,165.0,3,1,3,2,1,1393,4,1,2599,3,10,1,2,1,779,2,2,1,668,0,333168,11,11,30,2.5,2599,0
468,79.0,9480,0,1,1,0,1,0,2,1,1,224.0,2,0,2,2,1,728,4,1,1644,3,7,1,3,3,312,2,2,1,168,0,146500,65,12,0,1.5,2030,0
322,99.0,12099,0,0,1,0,2,0,3,1,1,388.0,3,1,4,2,2,1136,4,1,2468,3,10,1,3,1,872,2,2,1,184,0,354000,3,3,154,2.5,3438,1
6,85.0,14115,0,0,1,2,2,0,2,1,0,0.0,2,0,3,2,1,796,4,1,1362,2,5,0,0,3,480,2,2,1,40,1,143000,16,14,350,1.5,2094,1
1240,64.0,9037,0,0,1,2,2,0,3,0,1,32.0,3,1,3,2,2,1476,4,1,1484,4,6,1,3,3,472,2,2,1,120,0,265900,1,1,33,2.0,1912,0
1094,71.0,9230,0,1,2,0,1,0,2,0,1,166.0,2,0,2,2,1,864,3,1,1200,3,6,0,0,2,884,2,2,1,0,1,146000,41,8,64,1.5,1861,1
716,78.0,10140,0,1,1,0,2,0,2,0,1,174.0,2,0,3,2,1,1064,2,1,1350,2,7,1,2,3,478,2,2,1,0,1,165000,35,35,0,2.0,1350,0
40,65.0,6040,0,1,1,1,2,1,1,1,0,0.0,2,1,0,0,0,0,2,0,1152,1,6,0,0,0,0,0,0,0,0,0,82000,53,53,0,2.0,1152,0
543,78.0,10140,0,1,1,0,0,0,3,0,0,0.0,3,1,4,2,1,1650,4,1,1680,3,7,1,2,3,583,2,2,1,78,0,213250,11,10,73,2.0,2951,1
243,63.0,5000,0,1,2,3,2,0,2,1,0,0.0,2,0,2,2,1,540,3,0,1440,2,6,0,0,3,352,1,2,1,0,0,79000,106,56,77,1.0,1440,0
137,0.0,10355,0,0,2,0,2,0,2,1,1,196.0,2,0,2,2,1,1214,2,1,1214,2,5,1,1,3,318,2,2,1,0,0,143000,40,40,111,2.0,1909,0
715,0.0,13517,0,0,0,1,0,0,2,1,1,289.0,3,0,2,2,1,725,4,1,1479,3,6,0,0,3,475,2,2,1,0,0,130500,34,5,44,2.5,2012,0
738,72.0,10463,0,0,0,0,2,0,3,1,0,0.0,3,1,3,2,1,893,4,1,1801,3,8,1,3,3,800,2,2,1,0,0,239900,1,1,116,2.5,1801,0
1302,0.0,7500,0,0,1,2,2,0,2,1,0,0.0,2,0,2,2,1,771,1,1,1494,3,7,1,3,3,213,2,2,0,0,0,177500,67,59,224,1.0,2041,0
1044,86.0,11839,0,1,1,1,2,0,3,0,1,99.0,2,1,3,2,1,1475,4,1,2329,3,10,1,4,3,514,2,2,1,192,0,262280,18,18,121,2.5,3414,1
1331,85.0,10000,0,1,1,0,2,0,3,0,1,410.0,3,1,3,3,2,1588,4,1,1588,3,7,1,3,3,825,2,2,1,144,0,227000,1,1,45,2.0,1588,0
1104,79.0,8910,0,1,2,0,2,0,2,0,0,0.0,2,0,2,2,1,655,4,1,1194,2,6,1,1,1,539,2,2,1,0,0,159500,47,47,192,1.0,1849,1
753,79.0,9236,0,0,1,2,2,0,2,1,0,0.0,2,1,3,2,3,1479,4,1,1494,3,6,0,0,3,576,2,2,1,168,0,217000,9,9,27,2.0,2694,1
1354,56.0,14720,0,0,0,0,2,0,3,0,1,579.0,3,1,3,2,2,2033,4,1,3238,3,9,1,4,3,666,2,2,1,283,0,410000,15,14,86,2.5,4054,1
377,57.0,8846,0,0,0,2,2,0,2,1,0,0.0,3,1,3,2,2,870,4,1,914,2,5,0,0,2,576,2,2,1,0,0,148000,10,10,0,1.0,1212,0
315,60.0,9600,1,1,1,3,2,0,3,1,0,0.0,2,0,2,3,1,728,4,1,1641,4,6,1,3,2,546,1,2,1,0,0,178000,81,16,234,1.5,1657,1
443,52.0,6240,0,1,1,3,2,0,2,1,0,0.0,2,1,2,2,1,1078,2,1,1573,2,8,1,3,2,360,2,2,0,0,0,162900,78,16,0,2.0,1573,0
